Onderwerp;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen;Vestigingen
Regio's;Nederland;Nederland;Nederland;Nederland;Nederland;Nederland;Nederland;Nederland
Perioden;2012;2013;2014;2015;2016;2017;2018;2019
Bedrijfstakken/branches (SBI 2008);Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal;Aantal
474 Winkels in consumentenelektronica;3990;3950;3695;3670;3630;3435;3325;3325
4741 Winkels in computers en software;1340;1215;1100;1110;1055;975;955;910
4742 Winkels in communicatieapparatuur;990;1130;1135;1170;1205;1275;1205;1275
4743 Winkels in wit- en bruingoed;1660;1610;1460;1390;1365;1190;1160;1140
4754 Winkels elektr. huishoudapparatuur;875;845;820;795;765;740;720;705
47642 Winkels in watersportartikelen;510;475;455;445;460;445;455;445
47643 Winkels in sportartikelen;1920;1830;1750;1725;1670;1470;1540;1490
4771 Winkels in kleding;17550;17030;16280;16215;15860;15510;15145;14890
4772 Winkels in schoenen en lederwaren;3860;3550;3485;3385;3150;2740;2675;2535
4761 Boekenwinkels;820;825;755;730;715;705;690;685
4762 Winkels in lectuur en schrijfwaren;1460;1415;1340;1310;1240;1185;1135;1095
;;;;;;;;
1. Kleding of sportartikelen;23840;22885;21970;21770;21140;20165;19815;19360
2. Boeken, tijdschriften en kranten;2280;2240;2095;2040;1955;1890;1825;1780
3. Soft-/ hardware en elektronische benodig;6320;6295;5930;5950;5890;5685;5485;5510
4. Huishoudelijke goederen en apparaten;2535;2455;2280;2185;2130;1930;1880;1845
